SECTION,PARAMETER,VALUE_1,VALUE_2,VALUE_3,NOTES

HYPERPARAMETERS,n_samples_total,1500,,,Balanced: 300 per class
HYPERPARAMETERS,n_train,1200,,,
HYPERPARAMETERS,n_test,300,,,Stratified split 80/20
HYPERPARAMETERS,n_features,10,,,
HYPERPARAMETERS,n_classes,5,,,
HYPERPARAMETERS,algorithm,GradientBoosting,,,scikit-learn 1.8.0
HYPERPARAMETERS,n_estimators,200,,,Both reg and clf
HYPERPARAMETERS,max_depth,4,,,
HYPERPARAMETERS,learning_rate,0.08,,,
HYPERPARAMETERS,subsample,0.8,,,Stochastic GB
HYPERPARAMETERS,min_samples_leaf,5,,,
HYPERPARAMETERS,cv_strategy,KFold,n_splits=5,shuffle=True,

TRAINING_CURVE,iteration,train_rmse_MGT,test_rmse_MGT,,
TRAINING_CURVE,1,189.035,194.327,,
TRAINING_CURVE,5,138.386,142.104,,
TRAINING_CURVE,10,93.261,95.932,,
TRAINING_CURVE,15,63.105,65.102,,
TRAINING_CURVE,20,43.557,45.276,,
TRAINING_CURVE,25,31.021,32.93,,
TRAINING_CURVE,30,23.371,25.595,,
TRAINING_CURVE,40,16.314,19.215,,
TRAINING_CURVE,50,14.115,17.568,,
TRAINING_CURVE,75,12.383,16.836,,
TRAINING_CURVE,100,11.382,16.858,,
TRAINING_CURVE,125,10.592,16.894,,
TRAINING_CURVE,150,10.042,17.012,,
TRAINING_CURVE,175,9.382,17.056,,
TRAINING_CURVE,200,8.691,17.123,,

REGRESSION_METRICS,metric,test_value,cv_mean,cv_std,unit
REGRESSION_METRICS,RMSE,17.123,17.3336,0.9973,MGT
REGRESSION_METRICS,MAE,13.654,,,MGT
REGRESSION_METRICS,R2,0.9933,0.9929,0.0007,unitless

CLASSIFICATION_METRICS,metric,test_value,cv_mean,cv_std,unit
CLASSIFICATION_METRICS,Accuracy,0.9367,0.9453,0.0177,fraction
CLASSIFICATION_METRICS,Weighted_Precision,0.9376,,,
CLASSIFICATION_METRICS,Weighted_Recall,0.9367,,,
CLASSIFICATION_METRICS,Weighted_F1,0.937,0.9451,0.0177,
CLASSIFICATION_METRICS,Macro_Precision,0.9376,,,
CLASSIFICATION_METRICS,Macro_Recall,0.9367,,,
CLASSIFICATION_METRICS,Macro_F1,0.937,,,

PER_CLASS_METRICS,class,precision,recall,f1_score,support
PER_CLASS_METRICS,No_Defect,0.8871,0.9167,0.9016,60
PER_CLASS_METRICS,Corrugation,0.8689,0.8833,0.876,60
PER_CLASS_METRICS,RCF_Head_Wear,0.9492,0.9333,0.9412,60
PER_CLASS_METRICS,Fatigue_Crack_Life_Limit,0.9828,0.95,0.9661,60
PER_CLASS_METRICS,CWR_Thermal_Risk,1.0,1.0,1.0,60

CONFUSION_MATRIX,actual_vs_predicted,No_Defect,Corrugation,RCF_Head_Wear,Fatigue_Crack_Life_Limit,CWR_Thermal_Risk,
CONFUSION_MATRIX,No_Defect,55,5,0,0,0,
CONFUSION_MATRIX,Corrugation,7,53,0,0,0,
CONFUSION_MATRIX,RCF_Head_Wear,0,3,56,1,0,
CONFUSION_MATRIX,Fatigue_Crack_Life_Limit,0,0,3,57,0,
CONFUSION_MATRIX,CWR_Thermal_Risk,0,0,0,0,60,

FEATURE_IMPORTANCE_REGRESSION,rank,feature,importance,,
FEATURE_IMPORTANCE_REGRESSION,1,GMT_Accumulated_MGT,0.6758,,
FEATURE_IMPORTANCE_REGRESSION,2,Rail_Type_0=52kg_1=60kg,0.2793,,
FEATURE_IMPORTANCE_REGRESSION,3,Crack_Depth_mm,0.0413,,
FEATURE_IMPORTANCE_REGRESSION,4,Wear_Depth_mm,0.0007,,
FEATURE_IMPORTANCE_REGRESSION,5,Maintenance_Age_days,0.0006,,
FEATURE_IMPORTANCE_REGRESSION,6,Axle_Load_t,0.0006,,
FEATURE_IMPORTANCE_REGRESSION,7,Ballast_Deficit_mm,0.0006,,
FEATURE_IMPORTANCE_REGRESSION,8,Thermal_Deviation_degC,0.0004,,
FEATURE_IMPORTANCE_REGRESSION,9,Curvature_deg,0.0003,,
FEATURE_IMPORTANCE_REGRESSION,10,Zone_ID,0.0003,,

FEATURE_IMPORTANCE_CLASSIFICATION,rank,feature,importance,,
FEATURE_IMPORTANCE_CLASSIFICATION,1,Crack_Depth_mm,0.4393,,
FEATURE_IMPORTANCE_CLASSIFICATION,2,Thermal_Deviation_degC,0.3392,,
FEATURE_IMPORTANCE_CLASSIFICATION,3,Wear_Depth_mm,0.0958,,
FEATURE_IMPORTANCE_CLASSIFICATION,4,GMT_Accumulated_MGT,0.0712,,
FEATURE_IMPORTANCE_CLASSIFICATION,5,Curvature_deg,0.0318,,
FEATURE_IMPORTANCE_CLASSIFICATION,6,Rail_Type_0=52kg_1=60kg,0.0103,,
FEATURE_IMPORTANCE_CLASSIFICATION,7,Ballast_Deficit_mm,0.0053,,
FEATURE_IMPORTANCE_CLASSIFICATION,8,Zone_ID,0.003,,
FEATURE_IMPORTANCE_CLASSIFICATION,9,Maintenance_Age_days,0.0021,,
FEATURE_IMPORTANCE_CLASSIFICATION,10,Axle_Load_t,0.002,,

NOTES,item,detail,,,
NOTES,data_source,Synthetic physics-derived (Paris Law + GMT wear model),,,
NOTES,class_balance,300 samples per class — forced balanced for fair evaluation,,,
NOTES,retrain_rec,Replace synthetic data with real USFD + EM-120 inspection logs,,,
NOTES,health_score_formula,Health = 100-(40*gmtFrac+20*wearFrac+15*maintFrac+15*ballastFrac+7*crackFrac+3*curvFrac),,,
